risk_id,owner_type,owner_id,risk_level,status,reason,required_action,gate_policy,created_at
risk_node_concept_exit_gate_pass,NODE,concept_exit_gate_pass,AMBER_REVIEW,AMBER,Control/gate node requires explicit evidence or reviewer approval before write-back.,"Prepare reviewer queue with evidence, rule id, timestamp, and proposed Foundry Action.",REVIEW_BEFORE_OPERATIONAL_USE,2026-06-14T17:34:09+00:00
risk_node_concept_siemens_claim,NODE,concept_siemens_claim,AMBER_REVIEW,AMBER,Risk/exception concept; decision must cite evidence and current status.,"Attach missing evidence, verify owner domain, then re-run graph metadata validation.",REVIEW_BEFORE_OPERATIONAL_USE,2026-06-14T17:34:09+00:00
risk_node_concept_invoice_audit,NODE,concept_invoice_audit,ZERO_CANDIDATE,AMBER,AI-readable but operational decision remains conditional until source evidence is confirmed.,"Check DO release, gate pass, free-time clock, and M92/M100 chronology.",BLOCK_OPERATIONAL_WRITEBACK_UNTIL_APPROVED,2026-06-14T17:34:09+00:00
risk_node_concept_routing_pattern,NODE,concept_routing_pattern,ZERO_CANDIDATE,AMBER,Route/status is unresolved or mixed; require milestone/evidence closure.,Attach M115/M116/M117 marine readiness and sail-away evidence before AGI/DAS delivery decision.,BLOCK_OPERATIONAL_WRITEBACK_UNTIL_APPROVED,2026-06-14T17:34:09+00:00
risk_node_routing_mixed,NODE,routing_mixed,AMBER_REVIEW,AMBER,Route/status is unresolved or mixed; require milestone/evidence closure.,"Attach missing evidence, verify owner domain, then re-run graph metadata validation.",REVIEW_BEFORE_OPERATIONAL_USE,2026-06-14T17:34:09+00:00
risk_node_concept_agi_das_offshore_rule,NODE,concept_agi_das_offshore_rule,ZERO_CANDIDATE,AMBER,Control/gate node requires explicit evidence or reviewer approval before write-back.,Attach M115/M116/M117 marine readiness and sail-away evidence before AGI/DAS delivery decision.,BLOCK_OPERATIONAL_WRITEBACK_UNTIL_APPROVED,2026-06-14T17:34:09+00:00
risk_node_concept_audit_record,NODE,concept_audit_record,AMBER_REVIEW,AMBER,AI-readable but operational decision remains conditional until source evidence is confirmed.,"Attach missing evidence, verify owner domain, then re-run graph metadata validation.",REVIEW_BEFORE_OPERATIONAL_USE,2026-06-14T17:34:09+00:00
risk_node_concept_human_gate,NODE,concept_human_gate,AMBER_REVIEW,AMBER,Control/gate node requires explicit evidence or reviewer approval before write-back.,"Prepare reviewer queue with evidence, rule id, timestamp, and proposed Foundry Action.",REVIEW_BEFORE_OPERATIONAL_USE,2026-06-14T17:34:09+00:00
risk_node_concept_pod,NODE,concept_pod,AMBER_REVIEW,AMBER,AI-readable but operational decision remains conditional until source evidence is confirmed.,"Attach missing evidence, verify owner domain, then re-run graph metadata validation.",REVIEW_BEFORE_OPERATIONAL_USE,2026-06-14T17:34:09+00:00
risk_node_concept_osdr,NODE,concept_osdr,AMBER_REVIEW,AMBER,Risk/exception concept; decision must cite evidence and current status.,"Attach missing evidence, verify owner domain, then re-run graph metadata validation.",REVIEW_BEFORE_OPERATIONAL_USE,2026-06-14T17:34:09+00:00
risk_node_concept_cost_guard,NODE,concept_cost_guard,ZERO_CANDIDATE,AMBER,AI-readable but operational decision remains conditional until source evidence is confirmed.,Run COST-GUARD line/rate/tariff validation and route evidence handoff.,BLOCK_OPERATIONAL_WRITEBACK_UNTIL_APPROVED,2026-06-14T17:34:09+00:00
risk_node_concept_dem_det,NODE,concept_dem_det,ZERO_CANDIDATE,AMBER,AI-readable but operational decision remains conditional until source evidence is confirmed.,"Attach missing evidence, verify owner domain, then re-run graph metadata validation.",BLOCK_OPERATIONAL_WRITEBACK_UNTIL_APPROVED,2026-06-14T17:34:09+00:00
risk_node_consolidated_05_cost_guard_result,NODE,consolidated_05_cost_guard_result,ZERO_CANDIDATE,AMBER,AI-readable but operational decision remains conditional until source evidence is confirmed.,Run COST-GUARD line/rate/tariff validation and route evidence handoff.,BLOCK_OPERATIONAL_WRITEBACK_UNTIL_APPROVED,2026-06-14T17:34:09+00:00
risk_node_consolidated_05_prism_kernel,NODE,consolidated_05_prism_kernel,ZERO_CANDIDATE,AMBER,AI-readable but operational decision remains conditional until source evidence is confirmed.,"Attach missing evidence, verify owner domain, then re-run graph metadata validation.",BLOCK_OPERATIONAL_WRITEBACK_UNTIL_APPROVED,2026-06-14T17:34:09+00:00
risk_node_consolidated_05_proof_artifact,NODE,consolidated_05_proof_artifact,ZERO_CANDIDATE,AMBER,AI-readable but operational decision remains conditional until source evidence is confirmed.,"Attach missing evidence, verify owner domain, then re-run graph metadata validation.",BLOCK_OPERATIONAL_WRITEBACK_UNTIL_APPROVED,2026-06-14T17:34:09+00:00
risk_node_consolidated_05_risk_band,NODE,consolidated_05_risk_band,ZERO_CANDIDATE,AMBER,Risk/exception concept; decision must cite evidence and current status.,"Attach missing evidence, verify owner domain, then re-run graph metadata validation.",BLOCK_OPERATIONAL_WRITEBACK_UNTIL_APPROVED,2026-06-14T17:34:09+00:00
risk_node_consolidated_05_human_gate,NODE,consolidated_05_human_gate,ZERO_CANDIDATE,AMBER,Control/gate node requires explicit evidence or reviewer approval before write-back.,"Prepare reviewer queue with evidence, rule id, timestamp, and proposed Foundry Action.",BLOCK_OPERATIONAL_WRITEBACK_UNTIL_APPROVED,2026-06-14T17:34:09+00:00
risk_node_consolidated_06_marine_readiness_gate,NODE,consolidated_06_marine_readiness_gate,ZERO_CANDIDATE,AMBER,Control/gate node requires explicit evidence or reviewer approval before write-back.,Attach M115/M116/M117 marine readiness and sail-away evidence before AGI/DAS delivery decision.,BLOCK_OPERATIONAL_WRITEBACK_UNTIL_APPROVED,2026-06-14T17:34:09+00:00
risk_node_consolidated_06_material_exception,NODE,consolidated_06_material_exception,AMBER_REVIEW,AMBER,Risk/exception concept; decision must cite evidence and current status.,"Attach missing evidence, verify owner domain, then re-run graph metadata validation.",REVIEW_BEFORE_OPERATIONAL_USE,2026-06-14T17:34:09+00:00
risk_node_consolidated_06_claim,NODE,consolidated_06_claim,ZERO_CANDIDATE,AMBER,Risk/exception concept; decision must cite evidence and current status.,"Attach missing evidence, verify owner domain, then re-run graph metadata validation.",BLOCK_OPERATIONAL_WRITEBACK_UNTIL_APPROVED,2026-06-14T17:34:09+00:00
risk_node_consolidated_06_agidas_gate,NODE,consolidated_06_agidas_gate,ZERO_CANDIDATE,AMBER,Control/gate node requires explicit evidence or reviewer approval before write-back.,Attach M115/M116/M117 marine readiness and sail-away evidence before AGI/DAS delivery decision.,BLOCK_OPERATIONAL_WRITEBACK_UNTIL_APPROVED,2026-06-14T17:34:09+00:00
risk_node_consolidated_07_port_release_gate,NODE,consolidated_07_port_release_gate,ZERO_CANDIDATE,AMBER,Control/gate node requires explicit evidence or reviewer approval before write-back.,"Check DO release, gate pass, free-time clock, and M92/M100 chronology.",BLOCK_OPERATIONAL_WRITEBACK_UNTIL_APPROVED,2026-06-14T17:34:09+00:00
risk_node_consolidated_07_release_blocker,NODE,consolidated_07_release_blocker,ZERO_CANDIDATE,AMBER,Risk/exception concept; decision must cite evidence and current status.,"Check DO release, gate pass, free-time clock, and M92/M100 chronology.",BLOCK_OPERATIONAL_WRITEBACK_UNTIL_APPROVED,2026-06-14T17:34:09+00:00
