:START_ID(OntologyNode-ID),:END_ID(OntologyNode-ID),:TYPE,id:string,edge_type:string,status:string,risk_level:string,confidence:string,evidence_text:string,business_rule:string,last_updated:datetime,next_action:string,risk_reason:string,from_node_type:string,to_node_type:string,ai_ready:boolean,needs_review:boolean,text_for_embedding:string
member_arvin,concept_customs_clearance_docs,PERFORMS_ROLE,edge_0000,performs_role,PASS,,EXTRACTED,source_node:member_arvin | target_node:concept_customs_clearance_docs | relation:performs | confidence:EXTRACTED,Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export.,2026-06-14T17:35:31+04:00,Use relation as graph traversal path; keep provenance and source confidence.,,Person,Document,true,false,edge_0000 | PERFORMS_ROLE | PASS | EXTRACTED | Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export. | Use relation as graph traversal path; keep provenance and source confidence. |  | source_node:member_arvin | target_node:concept_customs_clearance_docs | relation:performs | confidence:EXTRACTED
member_arvin,concept_exit_gate_pass,PERFORMS_ROLE,edge_0001,performs_role,PASS,,EXTRACTED,source_node:member_arvin | target_node:concept_exit_gate_pass | relation:performs | confidence:EXTRACTED,Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export.,2026-06-14T17:35:31+04:00,Use relation as graph traversal path; keep provenance and source confidence.,,Person,Document,true,false,edge_0001 | PERFORMS_ROLE | PASS | EXTRACTED | Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export. | Use relation as graph traversal path; keep provenance and source confidence. |  | source_node:member_arvin | target_node:concept_exit_gate_pass | relation:performs | confidence:EXTRACTED
member_arvin,concept_shipment_tracking,PERFORMS_ROLE,edge_0002,performs_role,PASS,,EXTRACTED,source_node:member_arvin | target_node:concept_shipment_tracking | relation:performs | confidence:EXTRACTED,Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export.,2026-06-14T17:35:31+04:00,Use relation as graph traversal path; keep provenance and source confidence.,,Person,Document,true,false,edge_0002 | PERFORMS_ROLE | PASS | EXTRACTED | Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export. | Use relation as graph traversal path; keep provenance and source confidence. |  | source_node:member_arvin | target_node:concept_shipment_tracking | relation:performs | confidence:EXTRACTED
member_arvin,concept_siemens_claim,PERFORMS_ROLE,edge_0003,performs_role,PASS,,EXTRACTED,source_node:member_arvin | target_node:concept_siemens_claim | relation:performs | confidence:EXTRACTED,Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export.,2026-06-14T17:35:31+04:00,Use relation as graph traversal path; keep provenance and source confidence.,,Person,Document,true,false,edge_0003 | PERFORMS_ROLE | PASS | EXTRACTED | Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export. | Use relation as graph traversal path; keep provenance and source confidence. |  | source_node:member_arvin | target_node:concept_siemens_claim | relation:performs | confidence:EXTRACTED
member_arvin,entity_dsv,SHARES_DATA_WITH,edge_0004,shares_data_with,PASS,,EXTRACTED,source_node:member_arvin | target_node:entity_dsv | relation:shares_data_with | confidence:EXTRACTED,Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export.,2026-06-14T17:35:31+04:00,Use relation as graph traversal path; keep provenance and source confidence.,,Person,Document,true,false,edge_0004 | SHARES_DATA_WITH | PASS | EXTRACTED | Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export. | Use relation as graph traversal path; keep provenance and source confidence. |  | source_node:member_arvin | target_node:entity_dsv | relation:shares_data_with | confidence:EXTRACTED
member_arvin,member_karthik,CONCEPTUALLY_RELATED_TO,edge_0005,conceptually_related_to,PASS,,EXTRACTED,source_node:member_arvin | target_node:member_karthik | relation:conceptually_related_to | confidence:EXTRACTED,Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export.,2026-06-14T17:35:31+04:00,Use relation as graph traversal path; keep provenance and source confidence.,,Person,Person,true,false,edge_0005 | CONCEPTUALLY_RELATED_TO | PASS | EXTRACTED | Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export. | Use relation as graph traversal path; keep provenance and source confidence. |  | source_node:member_arvin | target_node:member_karthik | relation:conceptually_related_to | confidence:EXTRACTED
member_arvin,member_roldan,CONCEPTUALLY_RELATED_TO,edge_0006,conceptually_related_to,PASS,,EXTRACTED,source_node:member_arvin | target_node:member_roldan | relation:conceptually_related_to | confidence:EXTRACTED,Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export.,2026-06-14T17:35:31+04:00,Use relation as graph traversal path; keep provenance and source confidence.,,Person,Person,true,false,edge_0006 | CONCEPTUALLY_RELATED_TO | PASS | EXTRACTED | Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export. | Use relation as graph traversal path; keep provenance and source confidence. |  | source_node:member_arvin | target_node:member_roldan | relation:conceptually_related_to | confidence:EXTRACTED
member_arvin,role_overseas_inbound_docs_coordinator,PERFORMS_ROLE,edge_0007,performs_role,PASS,,EXTRACTED,source_node:member_arvin | target_node:role_overseas_inbound_docs_coordinator | relation:performs | confidence:EXTRACTED,Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export.,2026-06-14T17:35:31+04:00,Use relation as graph traversal path; keep provenance and source confidence.,,Person,ActorRole,true,false,edge_0007 | PERFORMS_ROLE | PASS | EXTRACTED | Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export. | Use relation as graph traversal path; keep provenance and source confidence. |  | source_node:member_arvin | target_node:role_overseas_inbound_docs_coordinator | relation:performs | confidence:EXTRACTED
member_sanguk,member_arvin,REFERENCES,edge_0008,references,PASS,,EXTRACTED,source_node:member_sanguk | target_node:member_arvin | relation:references | confidence:EXTRACTED,Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export.,2026-06-14T17:35:31+04:00,Use relation as graph traversal path; keep provenance and source confidence.,,Person,Person,true,false,edge_0008 | REFERENCES | PASS | EXTRACTED | Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export. | Use relation as graph traversal path; keep provenance and source confidence. |  | source_node:member_sanguk | target_node:member_arvin | relation:references | confidence:EXTRACTED
role_overseas_inbound_docs_coordinator,concept_bl,REFERENCES,edge_0009,references,PASS,,EXTRACTED,source_node:role_overseas_inbound_docs_coordinator | target_node:concept_bl | relation:references | confidence:EXTRACTED,Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export.,2026-06-14T17:35:31+04:00,Use relation as graph traversal path; keep provenance and source confidence.,,ActorRole,BillOfLadingDocument,true,false,edge_0009 | REFERENCES | PASS | EXTRACTED | Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export. | Use relation as graph traversal path; keep provenance and source confidence. |  | source_node:role_overseas_inbound_docs_coordinator | target_node:concept_bl | relation:references | confidence:EXTRACTED
