edge_id,from_id,to_id,edge_type_norm,edge_type,status,risk_level,confidence,evidence_text,business_rule,last_updated,next_action,risk_reason,needs_review,text_for_embedding
edge_0000,member_arvin,concept_customs_clearance_docs,PERFORMS_ROLE,performs_role,PASS,,EXTRACTED,source_node:member_arvin | target_node:concept_customs_clearance_docs | relation:performs | confidence:EXTRACTED,Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export.,2026-06-14T17:35:31+04:00,Use relation as graph traversal path; keep provenance and source confidence.,,false,edge_0000 | PERFORMS_ROLE | PASS | EXTRACTED | Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export. | Use relation as graph traversal path; keep provenance and source confidence. |  | source_node:member_arvin | target_node:concept_customs_clearance_docs | relation:performs | confidence:EXTRACTED
edge_0001,member_arvin,concept_exit_gate_pass,PERFORMS_ROLE,performs_role,PASS,,EXTRACTED,source_node:member_arvin | target_node:concept_exit_gate_pass | relation:performs | confidence:EXTRACTED,Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export.,2026-06-14T17:35:31+04:00,Use relation as graph traversal path; keep provenance and source confidence.,,false,edge_0001 | PERFORMS_ROLE | PASS | EXTRACTED | Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export. | Use relation as graph traversal path; keep provenance and source confidence. |  | source_node:member_arvin | target_node:concept_exit_gate_pass | relation:performs | confidence:EXTRACTED
edge_0002,member_arvin,concept_shipment_tracking,PERFORMS_ROLE,performs_role,PASS,,EXTRACTED,source_node:member_arvin | target_node:concept_shipment_tracking | relation:performs | confidence:EXTRACTED,Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export.,2026-06-14T17:35:31+04:00,Use relation as graph traversal path; keep provenance and source confidence.,,false,edge_0002 | PERFORMS_ROLE | PASS | EXTRACTED | Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export. | Use relation as graph traversal path; keep provenance and source confidence. |  | source_node:member_arvin | target_node:concept_shipment_tracking | relation:performs | confidence:EXTRACTED
edge_0003,member_arvin,concept_siemens_claim,PERFORMS_ROLE,performs_role,PASS,,EXTRACTED,source_node:member_arvin | target_node:concept_siemens_claim | relation:performs | confidence:EXTRACTED,Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export.,2026-06-14T17:35:31+04:00,Use relation as graph traversal path; keep provenance and source confidence.,,false,edge_0003 | PERFORMS_ROLE | PASS | EXTRACTED | Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export. | Use relation as graph traversal path; keep provenance and source confidence. |  | source_node:member_arvin | target_node:concept_siemens_claim | relation:performs | confidence:EXTRACTED
edge_0004,member_arvin,entity_dsv,SHARES_DATA_WITH,shares_data_with,PASS,,EXTRACTED,source_node:member_arvin | target_node:entity_dsv | relation:shares_data_with | confidence:EXTRACTED,Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export.,2026-06-14T17:35:31+04:00,Use relation as graph traversal path; keep provenance and source confidence.,,false,edge_0004 | SHARES_DATA_WITH | PASS | EXTRACTED | Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export. | Use relation as graph traversal path; keep provenance and source confidence. |  | source_node:member_arvin | target_node:entity_dsv | relation:shares_data_with | confidence:EXTRACTED
edge_0005,member_arvin,member_karthik,CONCEPTUALLY_RELATED_TO,conceptually_related_to,PASS,,EXTRACTED,source_node:member_arvin | target_node:member_karthik | relation:conceptually_related_to | confidence:EXTRACTED,Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export.,2026-06-14T17:35:31+04:00,Use relation as graph traversal path; keep provenance and source confidence.,,false,edge_0005 | CONCEPTUALLY_RELATED_TO | PASS | EXTRACTED | Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export. | Use relation as graph traversal path; keep provenance and source confidence. |  | source_node:member_arvin | target_node:member_karthik | relation:conceptually_related_to | confidence:EXTRACTED
edge_0006,member_arvin,member_roldan,CONCEPTUALLY_RELATED_TO,conceptually_related_to,PASS,,EXTRACTED,source_node:member_arvin | target_node:member_roldan | relation:conceptually_related_to | confidence:EXTRACTED,Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export.,2026-06-14T17:35:31+04:00,Use relation as graph traversal path; keep provenance and source confidence.,,false,edge_0006 | CONCEPTUALLY_RELATED_TO | PASS | EXTRACTED | Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export. | Use relation as graph traversal path; keep provenance and source confidence. |  | source_node:member_arvin | target_node:member_roldan | relation:conceptually_related_to | confidence:EXTRACTED
edge_0007,member_arvin,role_overseas_inbound_docs_coordinator,PERFORMS_ROLE,performs_role,PASS,,EXTRACTED,source_node:member_arvin | target_node:role_overseas_inbound_docs_coordinator | relation:performs | confidence:EXTRACTED,Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export.,2026-06-14T17:35:31+04:00,Use relation as graph traversal path; keep provenance and source confidence.,,false,edge_0007 | PERFORMS_ROLE | PASS | EXTRACTED | Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export. | Use relation as graph traversal path; keep provenance and source confidence. |  | source_node:member_arvin | target_node:role_overseas_inbound_docs_coordinator | relation:performs | confidence:EXTRACTED
edge_0008,member_sanguk,member_arvin,REFERENCES,references,PASS,,EXTRACTED,source_node:member_sanguk | target_node:member_arvin | relation:references | confidence:EXTRACTED,Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export.,2026-06-14T17:35:31+04:00,Use relation as graph traversal path; keep provenance and source confidence.,,false,edge_0008 | REFERENCES | PASS | EXTRACTED | Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export. | Use relation as graph traversal path; keep provenance and source confidence. |  | source_node:member_sanguk | target_node:member_arvin | relation:references | confidence:EXTRACTED
edge_0009,role_overseas_inbound_docs_coordinator,concept_bl,REFERENCES,references,PASS,,EXTRACTED,source_node:role_overseas_inbound_docs_coordinator | target_node:concept_bl | relation:references | confidence:EXTRACTED,Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export.,2026-06-14T17:35:31+04:00,Use relation as graph traversal path; keep provenance and source confidence.,,false,edge_0009 | REFERENCES | PASS | EXTRACTED | Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export. | Use relation as graph traversal path; keep provenance and source confidence. |  | source_node:role_overseas_inbound_docs_coordinator | target_node:concept_bl | relation:references | confidence:EXTRACTED
